DATE;CMIG4;SUZB3
01/12/2020 10:00;12.86;57.3
30/11/2020 14:00;12.63;56.5
30/11/2020 10:00;12.53;55.85
27/11/2020 14:00;12.45;55.53
27/11/2020 10:00;12.54;55.27
26/11/2020 14:00;12.31;53.4
26/11/2020 10:00;12.34;52.99
25/11/2020 14:00;12.42;50.53
25/11/2020 10:00;12.39;49.64
24/11/2020 14:00;12.28;50.1
24/11/2020 10:00;12.13;50.01
23/11/2020 14:00;11.85;50.62
23/11/2020 10:00;11.8;50.71
20/11/2020 14:00;11.67;51.23
20/11/2020 10:00;11.76;50.71
19/11/2020 14:00;11.95;50.21
19/11/2020 10:00;11.91;50.15
18/11/2020 14:00;12.05;50.74
18/11/2020 10:00;12.08;50.16
17/11/2020 14:00;11.89;51.3
17/11/2020 10:00;11.92;52.56
16/11/2020 14:00;11.75;53.09
16/11/2020 10:00;11.74;52.79
13/11/2020 14:00;11.32;51.94
13/11/2020 10:00;11.28;51.94
12/11/2020 14:00;11.03;48.57
12/11/2020 10:00;11.24;48.5
11/11/2020 14:00;11.29;48.35
11/11/2020 10:00;11.5;48.54
10/11/2020 14:00;11.69;47.97
10/11/2020 10:00;11.64;48.08
09/11/2020 14:00;11.44;48.68
09/11/2020 10:00;11.51;48.59
06/11/2020 14:00;11.2;49.9
06/11/2020 10:00;11.16;50.17
05/11/2020 14:00;11.05;51.3
05/11/2020 10:00;10.94;50.92
04/11/2020 14:00;10.66;51.63
04/11/2020 10:00;10.84;51.95
03/11/2020 14:00;10.33;52.68
03/11/2020 10:00;10.46;52.44
30/10/2020 17:30;10.29;49.98
30/10/2020 14:00;10.25;50.05
30/10/2020 10:00;10.19;51.03
29/10/2020 17:30;10.37;49.85
29/10/2020 14:00;10.39;50.17
29/10/2020 10:00;10.34;49.68
28/10/2020 17:30;10.35;48.11
28/10/2020 14:00;10.45;48.52
28/10/2020 10:00;10.53;48.69
27/10/2020 17:30;10.63;49.61
27/10/2020 14:00;10.73;50.1
27/10/2020 10:00;10.95;50.37
26/10/2020 17:30;10.95;51.14
26/10/2020 14:00;10.93;51.00
26/10/2020 10:00;10.95;50.65
